player,runs_scored,balls_faced_total,fours,sixes,balls_faced_legal,matches_played,innings_batted,dismissals,not_outs,batting_average,strike_rate,boundary_runs,boundary_percentage,dot_balls_x,dot_ball_percentage_x,highest_score,fifties,hundreds,runs_conceded,balls_bowled_total,wickets,balls_bowled_legal,matches_bowled,innings_bowled,overs_bowled,bowling_average,bowling_strike_rate,economy_rate,maidens,dot_balls_y,dot_ball_percentage_y,fours_conceded,sixes_conceded,no_balls,wides,best_bowling_wickets,best_bowling_runs,catches,stumpings,run_outs,total_fielding,image_id,image_url
Lalit Yadav,305,301,27,7,290,21,21,15,6,20.33333333,105.1724138,150,49.18032787,118,40.68965517,48,0,0,430,294,11,289,19,19,48.1,39.09090909,26.27272727,8.92733564,0,82,28.37370242,26,24,0,5,2,0,18,0,1,19,339152,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339152.png"
Liton Das,4,4,1,0,4,1,1,1,0,4,100,4,100,3,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319727,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319727.png"
M Ashwin,35,50,2,1,50,12,12,8,4,4.375,70,14,40,27,54,9,0,0,1182,898,35,873,44,44,145.3,33.77142857,24.94285714,8.12371134,0,283,32.41695304,82,50,0,25,3,0,7,0,0,7,,
M Jansen,66,71,5,2,66,12,12,7,5,9.428571429,100,32,48.48484848,29,43.93939394,17,0,0,732,487,22,458,21,21,76.2,33.27272727,20.81818182,9.589519651,1,176,38.4279476,69,32,0,29,3,0,13,0,0,13,337189,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/337100/337189.png"
M Kaif,259,258,22,6,250,22,22,16,6,16.1875,103.6,124,47.87644788,112,44.8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,17,319945,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319945.png"
M Kartik,113,109,7,1,108,14,14,6,8,18.83333333,104.6296296,34,30.08849558,31,28.7037037,21,0,0,1418,1182,39,1154,55,55,192.2,36.35897436,29.58974359,7.372616984,1,382,33.10225303,97,41,0,28,4,0,18,0,1,19,,
M Klinger,73,78,9,0,77,4,4,4,0,18.25,94.80519481,36,49.31506849,35,45.45454545,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321604,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321600/321604.png"
M Manhas,514,486,43,10,470,38,38,23,15,22.34782609,109.3617021,232,45.13618677,181,38.5106383,42,0,0,42,42,0,42,3,3,7,0,0,6,0,15,35.71428571,2,1,0,0,0,0,20,0,2,22,,
M Markande,48,44,5,1,42,10,10,3,7,16,114.2857143,26,54.16666667,18,42.85714286,18,0,0,1081,737,37,721,37,37,120.1,29.21621622,19.48648649,8.995839112,0,210,29.12621359,75,58,0,16,4,0,7,0,0,7,355403,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355403.png"
M Morkel,126,93,11,5,90,20,20,10,10,12.6,140,74,58.73015873,32,35.55555556,23,0,0,2136,1699,88,1642,70,70,273.4,24.27272727,18.65909091,7.805115713,1,708,43.1181486,230,61,0,57,4,0,11,0,3,14,316570,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316570.png"
